dataset,method,spearman_rho,p_value
SIFT,IVFPQ,0.38894874885624603,0.0
SIFT,HNSWSQ,0.20714969251164572,2.3195725677439934e-97
SIFT,LSH,0.20114063192510429,8.636525945972935e-92
GIST,IVFPQ,0.32697906153212053,2.396742152004163e-26
GIST,HNSWSQ,0.5575272963817336,9.501570595700677e-83
GIST,LSH,0.07015119705773125,0.026532037951377787
GloVe,IVFPQ,0.5073069469728431,0.0
GloVe,HNSWSQ,0.7256889408456195,0.0
GloVe,LSH,0.5495841782276036,0.0
