method,dataset,d,param1,param2,m,nprobe,sq_bits,nbits,recall,qps,build_time
HNSWSQ,GloVe,100,SQ6,efSearch=16,,,6.0,,0.6392,50150.436059902335,186.0015367278829
HNSWSQ,GloVe,100,SQ6,efSearch=32,,,6.0,,0.7284,35816.43937550731,186.0015367278829
HNSWSQ,GloVe,100,SQ6,efSearch=64,,,6.0,,0.7961,21227.854007359558,186.0015367278829
HNSWSQ,GloVe,100,SQ6,efSearch=128,,,6.0,,0.8452,11227.421009969394,186.0015367278829
HNSWSQ,GloVe,100,SQ6,efSearch=256,,,6.0,,0.8763,6160.062539783264,186.0015367278829
HNSWSQ,GloVe,100,SQ8,efSearch=16,,,8.0,,0.6596,54426.61418084762,153.2618650677614
HNSWSQ,GloVe,100,SQ8,efSearch=32,,,8.0,,0.7563,40729.46965426571,153.2618650677614
HNSWSQ,GloVe,100,SQ8,efSearch=64,,,8.0,,0.8287,23028.642305090816,153.2618650677614
HNSWSQ,GloVe,100,SQ8,efSearch=128,,,8.0,,0.8844,13933.70360175193,153.2618650677614
HNSWSQ,GloVe,100,SQ8,efSearch=256,,,8.0,,0.9226,6994.50161542624,153.2618650677614
LSH,SIFT,128,nbits=128,-,,,,128.0,0.1224,3889.877701870813,2.5221215689671226
LSH,SIFT,128,nbits=256,-,,,,256.0,0.2349,2227.253369720738,1.1538940889877267
LSH,SIFT,128,nbits=512,-,,,,512.0,0.379,1233.6330814768996,2.087292721029371
LSH,GIST,960,nbits=128,-,,,,128.0,0.023,3821.9591841786423,4.0140286249807104
LSH,GIST,960,nbits=256,-,,,,256.0,0.0398,2216.413180598612,3.4327440969645977
LSH,GIST,960,nbits=512,-,,,,512.0,0.0722,1243.841425529699,6.871197197004221
LSH,GloVe,100,nbits=128,-,,,,128.0,0.1668,3262.0571669538435,0.7493218870367855
LSH,GloVe,100,nbits=256,-,,,,256.0,0.2843,1952.3699933045643,1.1731015410041437
LSH,GloVe,100,nbits=512,-,,,,512.0,0.4296,1066.1703975962016,2.243627849966288
